title,language,structure_compliance,language_fluency_seo,multilingual_adaptability,total_score,missing_or_invalid_tags,retries,failed_criteria_log
T2 em Alfama com vista para o rio,pt,5,4,5,5,,0,
Apartamento T1 moderno em Parque das Nações,pt,4,4,5,4,title 61 characters,0,
T3 em Campo Pequeno com garagem,pt,5,4,5,5,,0,
Apartamento T2 renovado em Graça,pt,5,4,4,4,,0,
Penthouse T4 em Avenidas Novas,pt,5,4,4,4,,0,
1-Bedroom Apartment in Notting Hill,en,5,4,5,5,,0,
Studio in Canary Wharf with River View,en,5,4,5,5,,0,
2-Bedroom Apartment in Camden Town,en,5,4,5,5,,0,
3-Bedroom Penthouse in Kensington,en,5,5,5,5,,0,
Modern 2-Bedroom Apartment in Shoreditch,en,5,4,5,5,,0,
Piso T2 en Malasaña con balcón,es,5,4,5,5,,0,
Ático T3 en Salamanca con terraza,es,5,4,5,5,,0,
Estudio en Lavapiés reformado,es,5,4,5,5,,0,
Piso T4 en Chamartín con garaje,es,5,4,5,5,,0,
Apartamento T1 moderno en La Latina,es,5,4,5,5,,0,
